Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,100n,
"C2, C3",0805,2,1u,
J1,PinHeader_2x01_P2.54mm_Vertical,1,BATT,
J2,carrier-template,1,~,
J3,PinSocket_1x04_P2.54mm_Vertical,1,DEBUG,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,no battery bridge,
JP4,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,ADC_SRC,
Q1,SOT-323_SC-70_Handsoldering,1,PMF170XP,
Q2,SOT-23-3,1,DMN2310U,
"R1, R2, R5",0805,3,10k,
R3,0805,1,1M,
R4,0805,1,220k,
SW1,SW_SPDT_PCM12,1,PWR,
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RST,
SW3,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,PRGM,
U1,TP4056-18650,1,TP4056_board,
U2,ESP-12E,1,ESP-12E,
U3,SOT-23-5,1,TLV75533PDBV,
