Designator,Mid X,Mid Y,Rotation,Layer
C1,34.8,23.6,0.0,top
C2,28.6,32.4,0.0,top
C3,16.3,33.3,0.0,top
C4,10.4,21.7,0.0,top
J1,11.7,24.6,90.0,top
J2,0.0,0.9,0.0,top
J3,9.0,18.08,0.0,top
Q1,27.8575,28.2,0.0,top
Q2,22.9375,29.6,0.0,top
R1,11.8,18.8,270.0,top
R2,11.8,14.8,270.0,top
R3,36.6,28.8,0.0,top
R4,36.2,25.9,0.0,top
R5,10.0,1.4,0.0,top
SW1,41.925,29.4,90.0,top
SW2,41.8,19.9,90.0,top
SW3,41.8,10.3,90.0,top
U1,31.4,0.1,90.0,bottom
U2,26.1375,13.4,270.0,top
U3,16.8,29.6625,180.0,top
